department,department_url,group_url,group,authors
Preclinical and Fundamental Science,preclinical,hatter,The Hatter Cardiovascular Institute ,"Derek M Yellon, Malcolm Walker, Derek Hausenloy, Robert Bell, Sean M Davidson"
Preclinical and Fundamental Science,preclinical,surgery,Cardiovascular Surgery ,"Christopher Mcgregor, Guerard Byrne, Gaetano Burriesci, Jacob Salmonsmith, Benjamin Rahmani, Romilde Kotze"
Preclinical and Fundamental Science,preclinical,pharmacology,Cardiovascular Physiology and Pharmacology ,"Lucie Clapp, Jigisha Patel , lei Shen , rijan Gurung , mohammad Eddama, Nelson Orie"
Preclinical and Fundamental Science,preclinical,frankel,Frankel Lab,Paul Frankel 
Preclinical and Fundamental Science,preclinical,gene,Functional Gene Annotation ,Ruth Lovering
Preclinical and Fundamental Science,preclinical,biology,Molecular Biology Development and Disease ,"Vishwanie Budhram-Mahadeo, Laura Mele, Parisa Samangouei"
Population Science and Experimental Medicine,population,genomics,Centre for Translational Genomics  ,"Steve E Humphries, Philippa J Talmud, Jackie Cooper, Riyaz Patel, Folkert Asselbergs, Tom Lumbers, Daniel Swerdlow, Aroon Hingorani, John Overington, Chris Finan, Floriaan Schmidt"
Population Science and Experimental Medicine,population,ageing,Unit for Lifelong Health and Ageing,Nish Chaturvedi
Population Science and Experimental Medicine,population,multimorbidity,Multimorbidity Mechanisms and Therapeutics Research Collaborative,"Aroon Hingorani, Debbie Lawlor, Harry Hemingway, Simon Ball, Amanda Roberts, Nishi Chaturvedi, Ayath Ullah, Daniel Alexander, Spiros Denaxas, Reecha Sofat, Adam Butterworth, Munir Pirmohamed, Tina Shah, Valerie Kuan, Amand Schmidt, Chris Finan, Claudia Langenberg"
Population Science and Experimental Medicine,population,phenotyping,Bloomsbury Centre for Clinical Phenotyping ,Alun Hughes
Clinical Science,clinical,muscle,Centre for Heart Muscle Disease,Perry Elliott
Clinical Science,clinical,electrophysiology,Centre for Translational Electrophysiology and Data Science,"Pier Lambiase, Peter Taggart, Michele Orini, Stefan Van Duijvenboden, Claire Martin, Richard Ang"
Clinical Science,clinical,imaging,Centre for Cardiovascular Disease Imaging,"James Moon, Peter Kellman, Charlotte Manisty, Marianna Fontana, Guy Lloyd, Christos Bourantas, Leon Menezes, Gaby Captur, Thomas Treibel, Rhodri Davies, Luis Lopes, Viviana Maestrini, Rebecca Kozor, Camilla Torlasco"
Children's Cardiovascular Disease,childrens,translational,Translational Cardiovascular Imaging,"Vivek Muthurangu, Jennifer Steeden, Michael Quail, Daniel Knight"
Children's Cardiovascular Disease,childrens,outcomes,Outcomes in Paediatric Critical Illness and Cardiovascular Disease,"Katherine Brown, Joanna Wray, Victor Tsang, Aparna Hoskote"
Children's Cardiovascular Disease,childrens,disease,Paediatric Inherited and Rare Cardiovascular Disease,"Juan Pablo Kaski, Gabrielle Norrish"
Children's Cardiovascular Disease,childrens,support,"Heart Failure, Transplantation and Extracorporeal Support","Michael Burch, Richard Issitt, Matthew Fenton, Timothy Thiruchelvam"
Children's Cardiovascular Disease,childrens,morphology,Morphology and Structural Heart Disease,"Andrew Cook, Martin Kostolny, Adrian Crucean"
Children's Cardiovascular Disease,childrens,engineering,Clinical Cardiovascular Engineering,"Silvia Schievano, Claudio Capelli, Andrew Taylor"
